Day,Scripture_Readings,URL
132,John 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/132
133,John 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/133
134,John 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/134
135,John 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/135
136,John 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/136
137,John 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/137
138,John 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/138
139,John 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/139
140,John 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/140
141,John 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/141
142,John 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/142
143,John 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/143
144,John 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/144
145,John 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/145
146,John 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/146
147,John 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/147
148,John 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/148
149,John 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/149
150,John 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/150
151,John 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/151
152,John 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/152
153,John 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/153
154,John 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/154
155,John 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/155
156,John 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/156
157,John 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/157
158,John 17,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/158
159,John 18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/159
160,John 18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/160
161,John 19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/161
162,John 19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/162
163,John 20,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/163
164,John 21,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/164
165,Acts 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/165
166,Acts 2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/166
167,Acts 2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/167
168,Acts 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/168
169,Acts 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/169
170,Acts 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/170
171,Acts 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/171
172,Acts 5,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/172
173,Acts 6,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/173
174,Acts 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/174
175,Acts 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/175
176,Acts 7,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/176
177,Acts 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/177
178,Acts 8,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/178
179,Acts 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/179
180,Acts 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/180
181,Acts 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/181
182,Acts 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/182
183,Acts 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/183
184,Acts 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/184
185,Acts 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/185
186,Acts 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/186
187,Acts 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/187
188,Acts 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/188
189,Acts 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/189
190,Acts 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/190
191,Acts 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/191
192,Acts 17,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/192
