Day,OT_Scripture_Readings,NT_Scripture_Readings,OT_URL,NT_URL,Video_URLs
206,Psalms 64; Psalms 65; Psalms 66,Acts 26,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/206,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/206,
207,Psalms 67; Psalms 68; Psalms 69,Acts 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/207,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/207,
208,Psalms 70; Psalms 71; Psalms 72,Acts 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/208,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/208,
209,Psalms 73; Psalms 74; Psalms 75,Acts 28,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/209,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/209,
210,Psalms 76; Psalms 77; Psalms 78,Acts 28,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/210,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/210,
211,Psalms 79; Psalms 80; Psalms 81,Romans 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/211,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/211,https://www.youtube.com/embed/ej_6dVdJSIU
212,Psalms 82; Psalms 83; Psalms 84,Romans 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/212,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/212,
213,Psalms 85; Psalms 86; Psalms 87,Romans 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/213,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/213,
214,Psalms 88; Psalms 89; Psalms 90,Romans 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/214,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/214,
215,Psalms 91; Psalms 92; Psalms 93,Romans 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/215,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/215,https://www.youtube.com/embed/0SVTl4Xa5fY
216,Psalms 94; Psalms 95; Psalms 96,Romans 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/216,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/216,https://www.youtube.com/embed/3dEh25pduQ8
217,Psalms 97; Psalms 98; Psalms 99,Romans 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/217,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/217,
218,Psalms 100; Psalms 101; Psalms 102,Romans 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/218,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/218,
219,Psalms 103; Psalms 104; Psalms 105,Romans 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/219,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/219,
220,Psalms 106; Psalms 107; Psalms 108,Romans 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/220,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/220,
221,Psalms 109; Psalms 110; Psalms 111,Romans 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/221,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/221,
222,Psalms 112; Psalms 113; Psalms 114,Romans 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/222,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/222,
223,Psalms 115; Psalms 116; Psalms 117,Romans 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/223,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/223,
224,Psalms 118; Psalms 119; Psalms 120,Romans 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/224,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/224,
225,Psalms 121; Psalms 122; Psalms 123,Romans 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/225,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/225,
226,Psalms 124; Psalms 125; Psalms 126,Romans 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/226,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/226,https://www.youtube.com/embed/3BGO9Mmd_cU
227,Psalms 127; Psalms 128; Psalms 129,Romans 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/227,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/227,
228,Psalms 130; Psalms 131; Psalms 132,Romans 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/228,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/228,
229,Psalms 133; Psalms 134; Psalms 135,Romans 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/229,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/229,
230,Psalms 136; Psalms 137; Psalms 138,Romans 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/230,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/230,
231,Psalms 139; Psalms 140; Psalms 141,1 Corinthians 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/231,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/231,https://www.youtube.com/embed/yiHf8klCCc4
232,Psalms 142; Psalms 143; Psalms 144,1 Corinthians 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/232,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/232,
233,Psalms 145; Psalms 146; Psalms 147,1 Corinthians 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/233,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/233,
234,Psalms 148; Psalms 149; Psalms 150,1 Corinthians 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/234,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/234,
235,Proverbs 1; Proverbs 2; Proverbs 3,1 Corinthians 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/235,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/235,https://www.youtube.com/embed/AzmYV8GNAIM
236,Proverbs 4; Proverbs 5; Proverbs 6,1 Corinthians 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/236,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/236,https://www.youtube.com/embed/Gab04dPs_uA
237,Proverbs 7; Proverbs 8; Proverbs 9,1 Corinthians 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/237,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/237,
238,Proverbs 10; Proverbs 11; Proverbs 12,1 Corinthians 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/238,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/238,
239,Proverbs 13; Proverbs 14; Proverbs 15,1 Corinthians 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/239,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/239,
240,Proverbs 16; Proverbs 17; Proverbs 18,1 Corinthians 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/240,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/240,
241,Proverbs 19; Proverbs 20; Proverbs 21,1 Corinthians 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/241,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/241,
242,Proverbs 22; Proverbs 23; Proverbs 24,1 Corinthians 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/242,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/242,
243,Proverbs 25; Proverbs 26; Proverbs 27,1 Corinthians 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/243,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/243,
244,Proverbs 28; Proverbs 29; Proverbs 30; Proverbs 31,1 Corinthians 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/244,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/244,
