Day,Scripture_Readings,URL
134,2 Kings 21; 2 Kings 22; 2 Kings 23,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/134
135,2 Kings 24; 2 Kings 25,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/135
136,1 Chronicles 1; 1 Chronicles 2; 1 Chronicles 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/136
137,1 Chronicles 4; 1 Chronicles 5; 1 Chronicles 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/137
138,1 Chronicles 7; 1 Chronicles 8; 1 Chronicles 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/138
139,1 Chronicles 10; 1 Chronicles 11; 1 Chronicles 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/139
140,1 Chronicles 13; 1 Chronicles 14; 1 Chronicles 15; 1 Chronicles 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/140
141,1 Chronicles 17; 1 Chronicles 18; 1 Chronicles 19,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/141
142,1 Chronicles 20; 1 Chronicles 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/142
143,1 Chronicles 22; 1 Chronicles 23; 1 Chronicles 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/143
144,1 Chronicles 25; 1 Chronicles 26; 1 Chronicles 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/144
145,1 Chronicles 28; 1 Chronicles 29,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/145
146,2 Chronicles 1; 2 Chronicles 2; 2 Chronicles 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/146
147,2 Chronicles 4; 2 Chronicles 5; 2 Chronicles 6; 2 Chronicles 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/147
148,2 Chronicles 8; 2 Chronicles 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/148
149,2 Chronicles 10; 2 Chronicles 11; 2 Chronicles 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/149
150,2 Chronicles 13; 2 Chronicles 14; 2 Chronicles 15; 2 Chronicles 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/150
151,2 Chronicles 17; 2 Chronicles 18; 2 Chronicles 19; 2 Chronicles 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/151
152,2 Chronicles 21; 2 Chronicles 22,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/152
153,2 Chronicles 23; 2 Chronicles 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/153
154,2 Chronicles 25; 2 Chronicles 26; 2 Chronicles 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/154
155,2 Chronicles 28; 2 Chronicles 29; 2 Chronicles 30,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/155
156,2 Chronicles 31; 2 Chronicles 32,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/156
157,2 Chronicles 33; 2 Chronicles 34,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/157
158,2 Chronicles 35; 2 Chronicles 36,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/158
159,Ezra 1; Ezra 2; Ezra 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/159
160,Ezra 4; Ezra 5; Ezra 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/160
161,Ezra 7; Ezra 8; Ezra 9; Ezra 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/161
162,Nehemiah 1; Nehemiah 2; Nehemiah 3; Nehemiah 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/162
163,Nehemiah 5; Nehemiah 6; Nehemiah 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/163
164,Nehemiah 8; Nehemiah 9; Nehemiah 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/164
165,Nehemiah 11; Nehemiah 12; Nehemiah 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/165
166,Esther 1; Esther 2; Esther 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/166
167,Esther 4; Esther 5; Esther 6; Esther 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/167
168,Esther 8; Esther 9; Esther 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/168
169,Job 1; Job 2; Job 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/169
170,Job 4; Job 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/170
171,Job 6; Job 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/171
172,Job 8; Job 9; Job 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/172
173,Job 11; Job 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/173
174,Job 13; Job 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/174
